clip_id,"time","text","url",value,workspace_id,user_id,"clip_status","img","text_highlight",text_length
4071,"2012-08-22 13:46:58","%20very%20comfortable%20and%20appears%20to%20be%20very%20safe","http://mario.hcii.cs.cmu.edu/clipper/study/carseat/safety-first-complete.html",1,368,230,"saved","http://ecx.images-amazon.com/images/I/41bXJ78gtbL._SL160_SL90_.jpg",NULL,NULL
4070,"2012-08-22 13:46:58","%20very%20comfortable%20and%20appears%20to%20be%20very%20safe","http://mario.hcii.cs.cmu.edu/clipper/study/carseat/safety-first-complete.html",1,368,230,"saved","http://ecx.images-amazon.com/images/I/41bXJ78gtbL._SL160_SL90_.jpg",NULL,NULL
4069,"2012-08-22 13:46:30","extremely%20difficult%20to%20install%20it%20rear%20facing","http://mario.hcii.cs.cmu.edu/clipper/study/carseat/safety-first-complete.html",-1,368,230,"saved","http://ecx.images-amazon.com/images/I/41bXJ78gtbL._SL160_SL90_.jpg",NULL,NULL
4068,"2012-08-22 13:46:23","The%20seat%20is%20gigantic","http://mario.hcii.cs.cmu.edu/clipper/study/carseat/safety-first-complete.html",-1,368,230,"saved","http://ecx.images-amazon.com/images/I/41bXJ78gtbL._SL160_SL90_.jpg",NULL,NULL
4067,"2012-08-22 13:46:02","seemed%20very%20comfortable","http://mario.hcii.cs.cmu.edu/clipper/study/carseat/safety-first-complete.html",1,368,230,"saved","http://ecx.images-amazon.com/images/I/41bXJ78gtbL._SL160_SL90_.jpg",NULL,NULL
4066,"2012-08-22 13:45:40","The%20%22wings%22%20that%20I%20referred%20to%20earlier%20%28the%20things%20that%20stick%20out%20on%20either%20side%20of%20her%20head%29%20do%20not%20clean%20easily%21","http://mario.hcii.cs.cmu.edu/clipper/study/carseat/safety-first-complete.html",-1,368,230,"saved","http://ecx.images-amazon.com/images/I/41bXJ78gtbL._SL160_SL90_.jpg",NULL,NULL
4065,"2012-08-22 13:45:13","pretty%20easy%20to%20install%20and%20adjusting%20the%20straps%20as%20the%20kids%20grow%20is%20so%20easy","http://mario.hcii.cs.cmu.edu/clipper/study/carseat/safety-first-complete.html",1,368,230,"saved","http://ecx.images-amazon.com/images/I/41bXJ78gtbL._SL160_SL90_.jpg",NULL,NULL
4064,"2012-08-22 13:45:10","pretty%20easy%20to%20install%20and%20adjusting%20the%20straps%20as%20the%20kids%20grow%20is%20so%20easy","http://mario.hcii.cs.cmu.edu/clipper/study/carseat/safety-first-complete.html",1,368,230,"saved","http://ecx.images-amazon.com/images/I/41bXJ78gtbL._SL160_SL90_.jpg",NULL,NULL
4063,"2012-08-22 13:44:52","It%20holds%20the%20girls%20very%20secure","http://mario.hcii.cs.cmu.edu/clipper/study/carseat/safety-first-complete.html",1,368,230,"saved","http://ecx.images-amazon.com/images/I/41bXJ78gtbL._SL160_SL90_.jpg",NULL,NULL
4062,"2012-08-22 13:44:27","The%20instructions%20were%20simple%20and%20there%20was%20no%20wondering%20whether%20or%20not%20you%20got%20it%20right","http://mario.hcii.cs.cmu.edu/clipper/study/carseat/safety-first-complete.html",1,368,230,"saved","http://ecx.images-amazon.com/images/I/41bXJ78gtbL._SL160_SL90_.jpg",NULL,NULL
4061,"2012-08-22 13:44:13","My%20child%20is%20so%20comfortable%20and%20I%27m%20confident%20that%20he%20is%20safe%20and%20secure","http://mario.hcii.cs.cmu.edu/clipper/study/carseat/safety-first-complete.html",1,368,230,"saved","http://ecx.images-amazon.com/images/I/41bXJ78gtbL._SL160_SL90_.jpg",NULL,NULL
4060,"2012-08-22 13:44:13","My%20child%20is%20so%20comfortable%20and%20I%27m%20confident%20that%20he%20is%20safe%20and%20secure","http://mario.hcii.cs.cmu.edu/clipper/study/carseat/safety-first-complete.html",1,368,230,"saved","http://ecx.images-amazon.com/images/I/41bXJ78gtbL._SL160_SL90_.jpg",NULL,NULL
4059,"2012-08-22 13:43:26","Easy%20to%20install","http://mario.hcii.cs.cmu.edu/clipper/study/carseat/safety-first-complete.html",1,368,230,"saved","http://ecx.images-amazon.com/images/I/41bXJ78gtbL._SL160_SL90_.jpg",NULL,NULL
4058,"2012-08-22 13:43:10","protects%20my%20little%20girl%20and%20it%20provides%20comfert%20for%20her","http://mario.hcii.cs.cmu.edu/clipper/study/carseat/safety-first-complete.html",1,368,230,"saved","http://ecx.images-amazon.com/images/I/41bXJ78gtbL._SL160_SL90_.jpg",NULL,NULL
4057,"2012-08-22 13:43:04","protects%20my%20little%20girl%20and%20it%20provides%20comfert%20for%20her","http://mario.hcii.cs.cmu.edu/clipper/study/carseat/safety-first-complete.html",1,368,230,"saved","http://ecx.images-amazon.com/images/I/41bXJ78gtbL._SL160_SL90_.jpg",NULL,NULL
4056,"2012-08-22 13:42:24","easly%20instaled%20it%20in%20the%20car","http://mario.hcii.cs.cmu.edu/clipper/study/carseat/safety-first-complete.html",1,368,230,"saved","http://ecx.images-amazon.com/images/I/41bXJ78gtbL._SL160_SL90_.jpg",NULL,NULL
